capture_id,image_rank_in_capture,image_path_rel
CDB_S1#A05#1#1,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0001.JPG
CDB_S1#A05#1#1,2,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0002.JPG
CDB_S1#A05#1#1,3,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0003.JPG
CDB_S1#A05#1#2,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0004.JPG
CDB_S1#A05#1#2,2,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0005.JPG
CDB_S1#A05#1#2,3,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0006.JPG
CDB_S1#A05#1#3,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0007.JPG
CDB_S1#A05#1#4,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0008.JPG
CDB_S1#A05#1#5,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0009.JPG
CDB_S1#A05#1#5,2,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0010.JPG
CDB_S1#A05#1#5,3,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0011.JPG
CDB_S1#A05#1#6,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0012.JPG
CDB_S1#A05#1#6,2,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0013.JPG
CDB_S1#A05#1#6,3,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0014.JPG
CDB_S1#A05#1#7,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0015.JPG
CDB_S1#A05#1#8,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0016.JPG
CDB_S1#A05#1#8,2,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0017.JPG
CDB_S1#A05#1#8,3,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0018.JPG
CDB_S1#A05#1#9,1,CDB_S1/A05/A05_R1/CDB_S1_A05_R1_IMAG0019.JPG
