capture_id,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index
KAR_S1#A01#1#1,KAR_S1,A01,1,1,2017-10-04,01:01:44,28794480,blank,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#2,KAR_S1,A01,1,2,2017-10-04,01:02:47,28794481,human,,,,,,,,,,,,,0.43,0.92
KAR_S1#A01#1#3,KAR_S1,A01,1,3,2017-10-04,01:03:49,28794482,human,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#4,KAR_S1,A01,1,4,2017-10-04,01:05:03,28794483,human,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#5,KAR_S1,A01,1,5,2017-10-04,19:36:48,28794484,blank,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#6,KAR_S1,A01,1,6,2017-10-04,20:13:15,28794485,human,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#7,KAR_S1,A01,1,7,2017-10-11,04:26:26,28794486,zebramountain,2,1,1,0.25,0.00,0.75,0.00,0.00,0.00,,,,0.80,0.72
KAR_S1#A01#1#8,KAR_S1,A01,1,8,2017-10-13,09:33:55,28794487,zebramountain,1,1,1,0.67,0.00,0.33,0.00,0.00,0.00,,,,0.67,0.92
KAR_S1#A01#1#9,KAR_S1,A01,1,9,2017-10-13,23:16:48,28794488,baboon,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
KAR_S1#A01#1#10,KAR_S1,A01,1,10,2017-10-13,23:23:11,28794489,baboon,1,1,1,0.00,0.00,1.00,0.10,0.00,0.00,,,,1.00,0.00
KAR_S1#A01#1#11,KAR_S1,A01,1,11,2017-10-15,01:52:21,28794490,kudu,3,1,1,0.22,0.00,0.89,0.00,0.00,0.11,,,,0.90,0.47
KAR_S1#A01#1#12,KAR_S1,A01,1,12,2017-10-16,22:18:02,28794491,blank,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#13,KAR_S1,A01,1,13,2017-10-20,03:15:10,28794492,gemsbokoryx,1,1,1,0.40,0.00,0.70,0.00,0.00,0.00,,,,1.00,0.00
KAR_S1#A01#1#14,KAR_S1,A01,1,14,2017-10-20,03:34:40,28794493,gemsbokoryx,1,1,1,0.30,0.00,0.80,0.00,0.00,0.00,,,,1.00,0.00
KAR_S1#A01#1#15,KAR_S1,A01,1,15,2017-10-20,03:47:53,28794494,blank,,,,,,,,,,,,,1.00,0.00
KAR_S1#A01#1#16,KAR_S1,A01,1,16,2017-10-21,17:44:35,28794495,kudu,3,2,2,0.75,0.00,0.75,0.25,0.00,0.00,,,,0.44,0.88
KAR_S1#A01#1#17,KAR_S1,A01,1,17,2017-10-21,19:30:53,28794496,springbok,1,1,1,0.30,0.00,0.80,0.00,0.00,0.00,,,,1.00,0.00
KAR_S1#A01#1#18,KAR_S1,A01,1,18,2017-10-21,21:13:53,28794497,kudu,2,1,1,0.11,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
