capture_id,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index
KGA_S1#A01#1#1,KGA_S1,A01,1,1,2018-10-27,07:50:14,33326947,human,,,,,,,,,,,,,1.00,0.00
KGA_S1#A01#1#2,KGA_S1,A01,1,2,2018-10-27,07:51:15,33326948,human,,,,,,,,,,,,,1.00,0.00
KGA_S1#A01#1#3,KGA_S1,A01,1,3,2018-10-27,11:58:53,33326949,blank,,,,,,,,,,,,,1.00,0.00
KGA_S1#A01#1#4,KGA_S1,A01,1,4,2018-10-27,12:27:29,33326950,blank,,,,,,,,,,,,,1.00,0.00
KGA_S1#A01#1#5,KGA_S1,A01,1,5,2018-10-27,12:44:41,33326951,blank,,,,,,,,,,,,,1.00,0.00
KGA_S1#A01#1#8,KGA_S1,A01,1,8,2018-10-27,19:57:36,33326952,gemsbokoryx,4,4,2,0.40,0.00,0.60,0.00,0.00,0.20,,,,1.00,0.00
KGA_S1#A01#1#9,KGA_S1,A01,1,9,2018-10-27,20:00:26,33326953,gemsbokoryx,4,4,3,1.00,0.00,0.10,0.10,0.00,0.00,,,,1.00,0.00
KGA_S1#A01#1#10,KGA_S1,A01,1,10,2018-10-27,20:04:13,33326954,gemsbokoryx,5,5,2,1.00,0.10,0.10,0.70,0.00,0.00,,,,1.00,0.00
KGA_S1#A01#1#11,KGA_S1,A01,1,11,2018-10-27,20:06:12,33326955,gemsbokoryx,4,4,3,0.90,0.00,0.80,0.00,0.00,0.00,,,,0.91,0.44
KGA_S1#A01#1#12,KGA_S1,A01,1,12,2018-10-27,20:08:59,33326956,gemsbokoryx,2,2,2,0.80,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
KGA_S1#A01#1#13,KGA_S1,A01,1,13,2018-10-27,20:11:28,33326957,gemsbokoryx,2,2,1,0.58,0.83,0.25,0.25,0.00,0.00,,,,1.00,0.00
KGA_S1#A01#1#14,KGA_S1,A01,1,14,2018-10-27,20:17:00,33326958,gemsbokoryx,4,3,2,0.55,0.64,0.91,0.00,0.00,0.00,,,,1.00,0.00
KGA_S1#A01#1#15,KGA_S1,A01,1,15,2018-10-27,20:24:58,33326959,gemsbokoryx,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
