capture_id,image_rank_in_capture,image_path_rel
KGA_S1#A01#1#1,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0001.JPG
KGA_S1#A01#1#1,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0002.JPG
KGA_S1#A01#1#1,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0003.JPG
KGA_S1#A01#1#2,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0004.JPG
KGA_S1#A01#1#2,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0005.JPG
KGA_S1#A01#1#2,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0006.JPG
KGA_S1#A01#1#3,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0007.JPG
KGA_S1#A01#1#3,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0008.JPG
KGA_S1#A01#1#3,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0009.JPG
KGA_S1#A01#1#4,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0010.JPG
KGA_S1#A01#1#4,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0011.JPG
KGA_S1#A01#1#4,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0012.JPG
KGA_S1#A01#1#5,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0013.JPG
KGA_S1#A01#1#5,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0014.JPG
KGA_S1#A01#1#5,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0015.JPG
KGA_S1#A01#1#8,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0018.JPG
KGA_S1#A01#1#9,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0019.JPG
KGA_S1#A01#1#10,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0020.JPG
KGA_S1#A01#1#11,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0021.JPG
KGA_S1#A01#1#12,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0022.JPG
KGA_S1#A01#1#13,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0023.JPG
KGA_S1#A01#1#14,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0024.JPG
KGA_S1#A01#1#15,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0025.JPG
KGA_S1#A01#1#16,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0026.JPG
KGA_S1#A01#1#17,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0027.JPG
KGA_S1#A01#1#18,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0028.JPG
KGA_S1#A01#1#19,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0029.JPG
KGA_S1#A01#1#20,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0030.JPG
KGA_S1#A01#1#21,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0031.JPG
KGA_S1#A01#1#24,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0034.JPG
KGA_S1#A01#1#24,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0035.JPG
KGA_S1#A01#1#24,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0036.JPG
KGA_S1#A01#1#25,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0037.JPG
KGA_S1#A01#1#25,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0038.JPG
KGA_S1#A01#1#25,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0039.JPG
KGA_S1#A01#1#26,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0040.JPG
KGA_S1#A01#1#26,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0041.JPG
KGA_S1#A01#1#26,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0042.JPG
