capture_id,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index
CDB_S1#A05#1#1,CDB_S1,A05,1,1,,,32961809,human,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#2,CDB_S1,A05,1,2,,,32961810,human,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#3,CDB_S1,A05,1,3,,,32961811,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#4,CDB_S1,A05,1,4,,,32961812,hartebeestred,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#5,CDB_S1,A05,1,5,,,32961813,monkeyvervet,2,2,1,0.50,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#6,CDB_S1,A05,1,6,,,32961814,monkeyvervet,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#7,CDB_S1,A05,1,7,,,32961815,wildebeestblack,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#8,CDB_S1,A05,1,8,,,32961816,ostrich,2,2,2,0.00,0.00,1.00,0.00,0.10,0.00,,,,1.00,0.00
CDB_S1#A05#1#9,CDB_S1,A05,1,9,,,32961817,ostrich,1,1,1,0.10,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#10,CDB_S1,A05,1,10,,,32961818,ostrich,1,1,1,0.20,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#11,CDB_S1,A05,1,11,,,32961819,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#12,CDB_S1,A05,1,12,,,32961820,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#13,CDB_S1,A05,1,13,,,32961821,ostrich,1,1,1,0.11,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#14,CDB_S1,A05,1,14,,,32961822,ostrich,1,1,1,0.20,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#15,CDB_S1,A05,1,15,,,32961823,harescrub,1,1,1,0.14,0.00,0.43,0.57,0.00,0.00,,,,0.70,0.68
CDB_S1#A05#1#16,CDB_S1,A05,1,16,,,32961824,jackalblackbacked,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.80,0.58
CDB_S1#A05#1#17,CDB_S1,A05,1,17,,,32961825,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#18,CDB_S1,A05,1,18,,,32961826,ostrich,1,1,1,0.20,0.00,0.70,0.20,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#19,CDB_S1,A05,1,19,,,32961827,ostrich,1,1,1,0.18,0.00,0.91,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#20,CDB_S1,A05,1,20,,,32961828,ostrich,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#21,CDB_S1,A05,1,21,,,32961829,springbok,2,2,2,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#22,CDB_S1,A05,1,22,,,32961830,harescrub,1,1,1,0.00,0.00,0.38,0.62,0.00,0.00,,,,0.80,0.58
CDB_S1#A05#1#23,CDB_S1,A05,1,23,,,32961831,springbok,1,1,1,0.20,0.00,0.10,0.90,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#24,CDB_S1,A05,1,24,,,32961832,springbok,1,1,1,0.67,0.00,0.00,0.50,0.00,0.00,,,,0.46,0.83
CDB_S1#A05#1#25,CDB_S1,A05,1,25,,,32961833,springbok,1,1,1,0.80,0.00,0.20,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#26,CDB_S1,A05,1,26,,,32961834,springbok,2,2,2,0.10,0.10,0.90,0.60,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#27,CDB_S1,A05,1,27,,,32961835,springbok,2,2,1,0.00,0.00,1.00,0.20,0.00,0.10,,,,1.00,0.00
CDB_S1#A05#1#28,CDB_S1,A05,1,28,,,32961836,ostrich,1,1,1,0.00,0.00,1.00,0.11,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#29,CDB_S1,A05,1,29,,,32961837,ostrich,1,1,1,0.10,0.00,0.90,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#30,CDB_S1,A05,1,30,,,32961838,ostrich,1,1,1,0.11,0.00,0.89,0.00,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#31,CDB_S1,A05,1,31,,,32961839,jackalblackbacked,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.80,0.72
CDB_S1#A05#1#32,CDB_S1,A05,1,32,,,32961840,ostrich,1,1,1,0.00,0.00,0.86,0.14,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#33,CDB_S1,A05,1,33,,,32961841,harescrub,1,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.90,0.47
CDB_S1#A05#1#34,CDB_S1,A05,1,34,,,32961842,jackalblackbacked,1,1,1,0.30,0.00,0.60,0.30,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#35,CDB_S1,A05,1,35,,,32961843,harescrub,1,1,1,0.29,0.00,0.71,0.00,0.00,0.00,,,,0.70,0.68
CDB_S1#A05#1#37,CDB_S1,A05,1,37,,,32961844,wildebeestblack,2,1,1,0.00,0.00,1.00,0.00,0.00,0.00,,,,0.78,0.76
CDB_S1#A05#1#38,CDB_S1,A05,1,38,,,32961845,blank,,,,,,,,,,,,,1.00,0.00
CDB_S1#A05#1#39,CDB_S1,A05,1,39,,,32961846,ostrich,1,1,1,0.30,0.00,0.70,0.60,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#40,CDB_S1,A05,1,40,,,32961847,ostrich,1,1,1,0.10,0.00,0.80,0.10,0.00,0.00,,,,1.00,0.00
CDB_S1#A05#1#41,CDB_S1,A05,1,41,,,32961848,ostrich,2,2,1,0.30,0.00,0.80,0.20,0.00,0.00,,,,1.00,0.00
