capture_id,image_rank_in_capture,image_path_rel
ENO_S1#B02#1#2,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0002.JPG
ENO_S1#B02#1#2,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0003.JPG
ENO_S1#B02#1#2,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0004.JPG
ENO_S1#B02#1#3,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0005.JPG
ENO_S1#B02#1#3,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0006.JPG
ENO_S1#B02#1#3,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0007.JPG
ENO_S1#B02#1#4,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0008.JPG
ENO_S1#B02#1#4,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0009.JPG
ENO_S1#B02#1#4,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0010.JPG
ENO_S1#B02#1#5,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0011.JPG
ENO_S1#B02#1#5,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0012.JPG
ENO_S1#B02#1#5,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0013.JPG
ENO_S1#B02#1#6,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0014.JPG
ENO_S1#B02#1#6,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0015.JPG
ENO_S1#B02#1#6,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0016.JPG
ENO_S1#B02#1#7,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0017.JPG
ENO_S1#B02#1#7,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0018.JPG
ENO_S1#B02#1#7,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0019.JPG
ENO_S1#B02#1#8,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0020.JPG
ENO_S1#B02#1#8,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0021.JPG
ENO_S1#B02#1#8,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0022.JPG
ENO_S1#B02#1#9,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0023.JPG
ENO_S1#B02#1#9,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0024.JPG
ENO_S1#B02#1#9,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0025.JPG
ENO_S1#B02#1#10,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0026.JPG
ENO_S1#B02#1#10,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0027.JPG
ENO_S1#B02#1#10,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0028.JPG
ENO_S1#B02#1#11,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0029.JPG
ENO_S1#B02#1#11,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0030.JPG
ENO_S1#B02#1#11,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0031.JPG
ENO_S1#B02#1#12,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0032.JPG
