capture_id,image_rank_in_capture,image_path_rel
KAR_S1#A01#1#1,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00008.JPG
KAR_S1#A01#1#2,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00009.JPG
KAR_S1#A01#1#3,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00010.JPG
KAR_S1#A01#1#4,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00011.JPG
KAR_S1#A01#1#5,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00012.JPG
KAR_S1#A01#1#6,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00013.JPG
KAR_S1#A01#1#7,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00014.JPG
KAR_S1#A01#1#8,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00015.JPG
KAR_S1#A01#1#9,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00016.JPG
KAR_S1#A01#1#10,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00017.JPG
KAR_S1#A01#1#11,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00018.JPG
KAR_S1#A01#1#12,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00019.JPG
KAR_S1#A01#1#13,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00020.JPG
KAR_S1#A01#1#14,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00021.JPG
KAR_S1#A01#1#15,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00022.JPG
KAR_S1#A01#1#16,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00023.JPG
KAR_S1#A01#1#17,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00024.JPG
KAR_S1#A01#1#18,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00025.JPG
KAR_S1#A01#1#19,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00026.JPG
KAR_S1#A01#1#20,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00027.JPG
KAR_S1#A01#1#21,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00028.JPG
KAR_S1#A01#1#22,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00029.JPG
KAR_S1#A01#1#23,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00030.JPG
KAR_S1#A01#1#24,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00031.JPG
KAR_S1#A01#1#25,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00032.JPG
KAR_S1#A01#1#26,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00033.JPG
KAR_S1#A01#1#27,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00034.JPG
KAR_S1#A01#1#28,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00035.JPG
KAR_S1#A01#1#29,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00036.JPG
KAR_S1#A01#1#30,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00037.JPG
KAR_S1#A01#1#31,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00038.JPG
KAR_S1#A01#1#32,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00039.JPG
KAR_S1#A01#1#33,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00040.JPG
KAR_S1#A01#1#34,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00041.JPG
KAR_S1#A01#1#35,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00042.JPG
KAR_S1#A01#1#36,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00043.JPG
KAR_S1#A01#1#37,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00044.JPG
KAR_S1#A01#1#38,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00045.JPG
KAR_S1#A01#1#39,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00046.JPG
KAR_S1#A01#1#40,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00047.JPG
KAR_S1#A01#1#41,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00048.JPG
KAR_S1#A01#1#42,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00049.JPG
KAR_S1#A01#1#43,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00050.JPG
